N.º,Año,Departamento,Provincia,Edad,Relacion con la víctima,Forma del feminicidio,Lugar de ocurrencia
285,2010,Lima,Lima,21,Pareja o ex pareja,Asfixiada o estrangulada,Casa
286,2010,Junín,Concepción,22,Pareja o ex pareja,Asfixiada o estrangulada,Casa
287,2010,Cajamarca,Cajamarca,22,Pareja o ex pareja,Baleada,Casa
288,2010,Lima,Huaral,41,Pareja o ex pareja,Baleada,Fuera de Casa
289,2010,Huancavelica,Tayacaja,17,Familia,Golpeada,Casa
290,2010,Lima,Lima,16,Pareja o ex pareja,Golpeada,Casa
291,2010,Lima,Lima,42,Pareja o ex pareja,Baleada,Casa
292,2010,Cajamarca,Chota,28,Pareja o ex pareja,Golpeada,Fuera de Casa
293,2010,Piura,Talara,29,Pareja o ex pareja,Acuchillada,Casa
294,2011,Lima,Lima,6,Familia,Asfixiada o estrangulada,Casa
295,2011,Lambayeque,Lambayeque,31,Pareja o ex pareja,Golpeada,Casa
296,2011,Junín,Huancayo,19,Desconocido que atacó sexualmente a la víctima,Asfixiada o estrangulada,Fuera de Casa
297,2011,Lima,Lima,49,Pareja o ex pareja,Golpeada,Fuera de Casa
298,2011,Piura,Huancabamba,28,Pareja o ex pareja,Decapitada,Casa
299,2011,Lima,Lima,19,Pareja o ex pareja,Asfixiada o estrangulada,Casa
300,2011,Lambayeque,Chiclayo,43,Pareja o ex pareja,Baleada,Casa
301,2011,Lima,Lima,45,Pareja o ex pareja,Baleada,Fuera de Casa
302,2011,Callao,Callao,50,Pareja o ex pareja,Asfixiada o estrangulada,Casa
303,2011,Lima,Lima,41,Conocido,Asfixiada o estrangulada,Fuera de Casa
304,2011,Amazonas,Utcubamba,16,Pareja o ex pareja,Acuchillada,Casa
305,2011,Lima,Lima,24,Pareja o ex pareja,Asfixiada o estrangulada,Casa
306,2011,Arequipa,Arequipa,25,Pareja o ex pareja,Golpeada,Fuera de Casa
307,2011,Junín,Huancayo,24,Conocido,Asfixiada o estrangulada,Fuera de Casa
308,2011,Junín,Chupaca,62,Familia,Acuchillada,Fuera de Casa
309,2011,Ayacucho,Huanta,15,Familia,Asfixiada o estrangulada,Casa
310,2011,Tacna,Tacna,3,Conocido,Asfixiada o estrangulada,Fuera de Casa
311,2011,Huánuco,Huamalíes,83,Conocido,Golpeada,Casa
312,2011,Lima,Cañete,13,Pareja o ex pareja,Asfixiada o estrangulada,Fuera de Casa
313,2011,Puno,San Antonio de Putina,20,Desconocido que atacó sexualmente a la víctima,Golpeada,Fuera de Casa
314,2011,Lima,Lima,18,Familia,Asfixiada o estrangulada,Casa
315,2011,Apurímac,Abancay,42,Pareja o ex pareja,Golpeada,Casa
316,2011,Lima,Huaral,23,Pareja o ex pareja,Baleada,Fuera de Casa
317,2011,Madre de Dios,Tahuamanu,27,Pareja o ex pareja,Baleada,Fuera de Casa
318,2011,Madre de Dios,Tahuamanu,28,Pareja o ex pareja,Asfixiada o estrangulada,Fuera de Casa
319,2011,Junín,Huancayo,27,Pareja o ex pareja,Golpeada,Casa
320,2011,Puno,Puno,37,Pareja o ex pareja,Baleada,Casa
321,2011,Lima,Lima,13,Conocido,Asfixiada o estrangulada,Casa
322,2011,Lima,Lima,44,Pareja o ex pareja,Baleada,Casa
323,2011,Junín,Tarma,16,Familia,Acuchillada,Casa
324,2011,Lambayeque,Chiclayo,35,Pareja o ex pareja,Acuchillada,Casa
325,2011,Puno,Chucuito,46,Pareja o ex pareja,Golpeada,Casa
326,2011,Amazonas,Utcubamba,37,Pareja o ex pareja,Acuchillada,Fuera de Casa
327,2011,Tacna,Tacna,23,Pareja o ex pareja,Asfixiada o estrangulada,Fuera de Casa
328,2011,Cajamarca,Cajabamba,41,Pareja o ex pareja,Acuchillada,Casa
329,2011,Áncash,Santa,29,Pareja o ex pareja,Acuchillada,Casa
330,2011,Áncash,Santa,20,Pareja o ex pareja,Acuchillada,Casa
331,2011,Lima,Lima,25,Pareja o ex pareja,Acuchillada,Casa
332,2011,Lima,Lima,45,Familia,Golpeada,Casa
333,2011,La Libertad,Trujillo,19,Pareja o ex pareja,Acuchillada,Casa
334,2011,Tacna,Tacna,25,Pareja o ex pareja,Golpeada,Fuera de Casa
335,2011,Junín,Chanchamayo,39,Familia,Golpeada,Fuera de Casa
336,2011,Lima,Lima,25,Conocido,Golpeada,Fuera de Casa
337,2011,Tacna,Tacna,21,Desconocido que atacó sexualmente a la víctima,Asfixiada o estrangulada,Fuera de Casa
338,2011,La Libertad,Trujillo,15,Desconocido que atacó sexualmente a la víctima,Golpeada,Fuera de Casa
339,2011,Lima,Lima,33,Pareja o ex pareja,Baleada,Casa
340,2011,Áncash,Santa,15,Pareja o ex pareja,Baleada,Casa
341,2011,Junín,Huancayo,30,Pareja o ex pareja,Golpeada,Casa
342,2011,Junín,Huancayo,8 meses,Familia,Golpeada,Casa
343,2011,Junín,Satipo,45,Pareja o ex pareja,Golpeada,Fuera de Casa
344,2011,Lambayeque,Ferreñafe,46,Pareja o ex pareja,Acuchillada,Fuera de Casa
345,2011,Áncash,Santa,3 meses,Familia,Asfixiada o estrangulada,Casa
346,2011,Junín,Huancayo,17,Pareja o ex pareja,Asfixiada o estrangulada,Casa
347,2011,Junín,Huancayo,20,Conocido,Envenenada,Casa
348,2011,Junín,Huancayo,39,Pareja o ex pareja,Asfixiada o estrangulada,Casa
349,2011,Loreto,Maynas,33,Pareja o ex pareja,Asfixiada o estrangulada,Casa
350,2011,Moquegua,Mariscal Nieto,37,Pareja o ex pareja,Asfixiada o estrangulada,Casa
351,2011,Ucayali,Coronel Portillo,40,Pareja o ex pareja,Desbarrancada,Fuera de Casa
352,2011,Huancavelica,Huancavelica,79,Desconocido que atacó sexualmente a la víctima,Asfixiada o estrangulada,Casa
353,2011,Áncash,Huaraz,25,Pareja o ex pareja,Golpeada,Casa
354,2011,Huánuco,Pachitea,19,Pareja o ex pareja,Golpeada,Fuera de Casa
355,2011,Junín,Chupaca,35,Pareja o ex pareja,Acuchillada,Casa
356,2011,Arequipa,Arequipa,53,Pareja o ex pareja,Asfixiada o estrangulada,Casa
357,2011,Ayacucho,Lucanas,34,Pareja o ex pareja,Golpeada,Fuera de Casa
358,2011,Cusco,Cusco,30,Pareja o ex pareja,Golpeada,Casa
359,2011,Junín,Satipo,23,Pareja o ex pareja,Baleada,Casa
360,2011,Junín,Satipo,42,Conocido,Baleada,Casa
361,2011,Lima,Lima,26,Pareja o ex pareja,Baleada,Fuera de Casa
362,2011,Lima,Lima,28,Pareja o ex pareja,Acuchillada,Casa
363,2011,Puno,Huancané,80,Desconocido que atacó sexualmente a la víctima,Golpeada,Casa
364,2011,Arequipa,Arequipa,61,Familia,Baleada,Casa
365,2011,Cusco,Cusco,22,Conocido,Acuchillada,Fuera de Casa
366,2011,Ica,Pisco,37,Pareja o ex pareja,Acuchillada,Fuera de Casa
367,2011,Lima,Lima,35,Pareja o ex pareja,Asfixiada o estrangulada,Casa
368,2011,Lima,Huaura,40,Pareja o ex pareja,Golpeada,Fuera de Casa
369,2011,Lima,Cañete,32,Pareja o ex pareja,Degollada,Casa
370,2011,Ica,Ica,46,Pareja o ex pareja,Golpeada,Casa
371,2011,San Martín,San Martín,34,Pareja o ex pareja,Acuchillada,Fuera de Casa
372,2011,Cajamarca,Hualgayoc,82,Familia,Asfixiada o estrangulada,Casa
373,2011,Lima,Yauyos,43,Pareja o ex pareja,Golpeada,Casa
374,2011,Ica,Nazca,58,Familia,Acuchillada,Casa
375,2011,Áncash,Santa,26,Pareja o ex pareja,Acuchillada,Fuera de Casa
376,2011,Junín,Jauja,19,Pareja o ex pareja,Golpeada,Fuera de Casa
377,2011,Junín,Huancayo,25,Pareja o ex pareja,Golpeada,Fuera de Casa
378,2011,Ica,Ica,26,Pareja o ex pareja,Golpeada,Casa
379,2011,Lima,Lima,36,Pareja o ex pareja,Golpeada,Casa
380,2011,Áncash,Huari,17,Pareja o ex pareja,Golpeada,Fuera de Casa
381,2011,Áncash,Huari,4 meses,Familia,Desbarrancada,Fuera de Casa
382,2011,Junín,Satipo,40,Pareja o ex pareja,Acuchillada,Casa
383,2011,Tumbes,Tumbes,35,Pareja o ex pareja,Acuchillada,Casa
384,2011,Lima,Lima,33,Pareja o ex pareja,Acuchillada,Casa
385,2011,Áncash,Santa,45,Pareja o ex pareja,Asfixiada o estrangulada,Fuera de Casa
386,2011,Puno,Puno,23,Pareja o ex pareja,Asfixiada o estrangulada,Fuera de Casa
387,2011,Lima,Lima,5,Familia,Asfixiada o estrangulada,Casa
388,2011,Puno,Puno,20,Pareja o ex pareja,Acuchillada,Casa
389,2011,Lima,Lima,19,Pareja o ex pareja,Acuchillada,Casa
390,2011,Cusco,Cusco,44,Pareja o ex pareja,Baleada,Casa
391,2011,Loreto,Datem del Marañon,40,Pareja o ex pareja,Acuchillada,Casa
392,2011,Loreto,Datem del Marañon,14,Familia,Acuchillada,Casa
393,2011,Lima,Lima,18,Pareja o ex pareja,Asfixiada o estrangulada,Casa
394,2011,Lima,Lima,21,Pareja o ex pareja,Baleada,Fuera de Casa
395,2011,Cusco,Calca,24,Pareja o ex pareja,Golpeada,Casa
396,2011,Cajamarca,Jaén,19,Pareja o ex pareja,Acuchillada,Fuera de Casa
397,2011,Áncash,Huaraz,8,Familia,Asfixiada o estrangulada,Fuera de Casa
398,2011,Lima,Lima,46,Pareja o ex pareja,Acuchillada,Casa
399,2011,Lima,Lima,35,Pareja o ex pareja,Asfixiada o estrangulada,Casa
400,2011,Cajamarca,Chota,25,Conocido,Acuchillada,Fuera de Casa
401,2011,Amazonas,Utcubamba,32,Pareja o ex pareja,Baleada,Casa
402,2011,Ayacucho,Huamanga,22,Conocido,Asfixiada o estrangulada,Fuera de Casa
403,2011,Lima,Lima,27,Pareja o ex pareja,Acuchillada,Casa
404,2011,Lima,Lima,3,Familia,Acuchillada,Casa
405,2011,Lima,Lima,4,Familia,Acuchillada,Casa
406,2011,Junín,Huancayo,19,Pareja o ex pareja,Asfixiada o estrangulada,Casa
407,2011,Arequipa,Caylloma,22,Pareja o ex pareja,Golpeada,Casa
408,2011,Lima,Lima,42,Pareja o ex pareja,Acuchillada,Fuera de Casa
409,2011,Lima,Lima,20,Pareja o ex pareja,Asfixiada o estrangulada,Casa
410,2011,Lima,Lima,40,Pareja o ex pareja,Asfixiada o estrangulada,Fuera de Casa
411,2011,La Libertad,Pacasmayo,32,Pareja o ex pareja,Asfixiada o estrangulada,Casa
412,2011,Puno,Melgar,41,Familia,Baleada,Casa
413,2011,Lima,Lima,48,Pareja o ex pareja,Golpeada,Casa
414,2011,Lima,Lima,48,Pareja o ex pareja,Acuchillada,Casa
415,2011,Pasco,Oxapampa,45,Pareja o ex pareja,Golpeada,Casa
416,2011,Cajamarca,Cajabamba,41,Pareja o ex pareja,Golpeada,Fuera de Casa
417,2012,Lima,Lima,30,Pareja o ex pareja,Acuchillada,Fuera de Casa
418,2012,Callao,Callao,34,Pareja o ex pareja,Baleada,Casa
419,2012,Apurímac,Abancay,51,Familia,Acuchillada,Casa
420,2012,Lima,Lima,26,Pareja o ex pareja,No se ha determinado por avanzado estado de descomposición,Casa
421,2012,Ayacucho,Huamanga,38,Familia,Acuchillada,Fuera de Casa
422,2012,Lambayeque,Lambayeque,16,Pareja o ex pareja,Asfixiada o estrangulada,Fuera de Casa
423,2012,Pasco,Pasco,24,Pareja o ex pareja,Golpeada,Fuera de Casa
424,2012,Lima,Lima,37,Pareja o ex pareja,Golpeada,Fuera de Casa
425,2012,Loreto,Maynas,15,Pareja o ex pareja,Baleada,Fuera de Casa
426,2012,Cusco,Cusco,33,Desconocido que atacó sexualmente a la víctima,Asfixiada o estrangulada,Fuera de Casa
427,2012,Lima,Lima,23,Pareja o ex pareja,Baleada,Fuera de Casa
428,2012,Lima,Lima,30,Pareja o ex pareja,Desbarrancada,Casa
429,2012,Puno,San Román,40,Pareja o ex pareja,Acuchillada,Casa
430,2012,La Libertad,Trujillo,38,Pareja o ex pareja,Atropellada,Fuera de Casa
431,2012,Arequipa,Caylloma,21,Pareja o ex pareja,Asfixiada o estrangulada,Fuera de Casa
432,2012,Cusco,Cusco,21,Pareja o ex pareja,Asfixiada o estrangulada,Fuera de Casa
433,2012,Madre de Dios,Manu,20,Pareja o ex pareja,Golpeada,Fuera de Casa
434,2012,Lima,Cañete,29,Pareja o ex pareja,Desbarrancada,Fuera de Casa
435,2012,Lima,Lima,25,Pareja o ex pareja,Asfixiada o estrangulada,Casa
436,2012,Junín,Huancayo,27,Pareja o ex pareja,Asfixiada o estrangulada,Fuera de Casa
437,2012,Tacna,Tacna,27,Pareja o ex pareja,Baleada,Fuera de Casa
438,2012,Arequipa,Arequipa,35,Pareja o ex pareja,Asfixiada o estrangulada,Fuera de Casa
439,2012,Junín,Concepción,31,Pareja o ex pareja,Acuchillada,Casa
440,2012,Lima,Lima,29,Pareja o ex pareja,Quemada,Casa
441,2012,Lima,Lima,20,Pareja o ex pareja,Acuchillada,Casa
442,2012,Lima,Lima,30,Pareja o ex pareja,Asfixiada o estrangulada,Casa
443,2012,Ayacucho,Huamanga,27,Pareja o ex pareja,Asfixiada o estrangulada,Casa
444,2012,Cajamarca,San Pablo,41,Pareja o ex pareja,Acuchillada,Fuera de Casa
445,2012,Piura,Ayabaca,33,Desconocido que atacó sexualmente a la víctima,Acuchillada,Fuera de Casa
446,2012,Lambayeque,Chiclayo,21,Pareja o ex pareja,Golpeada,Fuera de Casa
447,2012,Ica,Nazca,36,Conocido,Baleada,Fuera de Casa
448,2012,La Libertad,Trujillo,33,Pareja o ex pareja,Baleada,Fuera de Casa
449,2012,Madre de Dios,Tambopata,18,Pareja o ex pareja,Acuchillada,Fuera de Casa
450,2012,Lima,Lima,19,Pareja o ex pareja,Acuchillada,Casa
451,2012,Junín,Huancayo,13,Conocido,Acuchillada,Fuera de Casa
452,2012,Puno,Sandia,12,Desconocido que atacó sexualmente a la víctima,Asfixiada o estrangulada,Fuera de Casa
453,2012,Huancavelica,Tayacaja,61,Familia,Golpeada,Fuera de Casa
454,2012,Huancavelica,Huaytará ,34,Pareja o ex pareja,Asfixiada o estrangulada,Fuera de Casa
455,2012,Lima,Lima,26,Pareja o ex pareja,Baleada,Casa
456,2012,Junín,Satipo,22,Pareja o ex pareja,Acuchillada,Fuera de Casa
457,2012,Huánuco,Puerto Inca,15,Familia,Acuchillada,Fuera de Casa
458,2012,Lambayeque,Chiclayo,24,Pareja o ex pareja,Baleada,Fuera de Casa
459,2012,La Libertad,Trujillo,17,Pareja o ex pareja,Acuchillada,Fuera de Casa
460,2012,San Martín,Rioja,16,Pareja o ex pareja,Asfixiada o estrangulada,Fuera de Casa
461,2012,Junín,Huancayo,76,Familia,Asfixiada o estrangulada,Casa
462,2012,Lima,Lima,27,Pareja o ex pareja,Asfixiada o estrangulada,Casa
463,2012,Madre de Dios,Tambopata,28,Pareja o ex pareja,Baleada,Fuera de Casa
464,2012,Cajamarca,Chota,20,Pareja o ex pareja,Envenenada,Casa
465,2012,Junín,Huancayo,23,Pareja o ex pareja,Asfixiada o estrangulada,Casa
466,2012,Lima,Lima,26,Pareja o ex pareja,Asfixiada o estrangulada,Casa
467,2012,Huánuco,Puerto Inca,29,Pareja o ex pareja,Acuchillada,Fuera de Casa
468,2012,Cajamarca,Jaén,37,Pareja o ex pareja,Acuchillada,Casa
469,2012,La Libertad,Trujillo,34,Pareja o ex pareja,Acuchillada,Fuera de Casa
470,2012,Ayacucho,La Mar,53,Pareja o ex pareja,Envenenada,Fuera de Casa
471,2012,Huánuco,Pachitea,21,Familia,Golpeada,Fuera de Casa
472,2012,Áncash,Santa,24,Pareja o ex pareja,Golpeada,Casa
473,2012,Ayacucho,Huanta,44,Pareja o ex pareja,Baleada,Fuera de Casa
474,2012,Lambayeque,Chiclayo,41,Pareja o ex pareja,Golpeada,Casa
475,2012,Madre de Dios,Tambopata,20,Pareja o ex pareja,Decapitada,Fuera de Casa
476,2012,Junín,Huancayo,30,Pareja o ex pareja,Golpeada,Fuera de Casa
477,2012,Puno,San Román,40,Familia,Golpeada,Casa
478,2012,Callao,Callao,25,Conocido,Envenenada,Casa
